_id;expert_userId;intitule;localisation;date_debut;date_fin;HT_TTC;replacement_or_creation;presentiel_distanciel;isClosed;forfait_remuneration;status;createdAt;updatedAt;hours_planned;note_communication;note_quality;note_level
656ca1bf843c536c576b92c4;62656dcc14c13d7d18f8a109;formation Qualiopi;Oloron Sainte-Marie;03/10/2023;24/11/2023;HT;Création;presentiel;VRAI;hourly;terminated;03/11/2023;1.70162E+12;;;;
656a06f9843c536c576b8eda;62bd69eeb92b4e1a8ec36ebb;Management & Leadership;Bordeaux;15/05/2024;15/05/2024;TTC;Création de poste;;FAUX;hourly;pending;01/11/2023;1.70145E+12;5;;;
6569f99411ad9c29f93181cd;62bd69eeb92b4e1a8ec36ebb;Management et Ressources Humaines;Bordeaux;05/12/2023;19/12/2023;TTC;reconduction;presentiel;FAUX;hourly;pending;01/11/2023;1.70147E+12;9;;;
6569f6d111ad9c29f93181bd;6225ccbd316ade097cd55097;Jury : LV2 Italien;Bordeaux;07/06/2023;07/06/2023;TTC;Création;;FAUX;hourly;pending;01/11/2023;1.70144E+12;1;;;
6569f6a511ad9c29f93181bc;6411b89643068357ef8423aa;"Jury ""entretien professionnel"" : rapports d'activité";Bordeaux;25/05/2023;25/05/2023;TTC;Création;presentiel;FAUX;hourly;pending;01/11/2023;1.70144E+12;6.5;;;
6569f60811ad9c29f93181b6;6329965422d1f03a8a691c4b;Management interculturel;Bordeaux;14/11/2023;14/11/2023;TTC;Création de poste;presentiel;FAUX;hourly;pending;01/11/2023;1.70144E+12;6;;;
6569e95e11ad9c29f9318186;628d382d1fbb04796427189a;Gestion des risques intern & réglementation douanières, incoterms Niveau Expert.;Bordeaux;02/01/2024;30/04/2024;TTC;Reconduction;;FAUX;hourly;proposed;01/11/2023;1.70144E+12;15;;;
65688f5711ad9c29f9317dfb;6332a3c886a6612f5c1fef44;Jury marketing;Bordeaux;30/11/2023;30/11/2023;;Création;presentiel;VRAI;hourly;terminated;30/10/2023;1.70169E+12;3;;;
65688f5211ad9c29f9317dfa;633fd5cdbcc18741abdf0027;Jury marketing;Bordeaux;30/11/2023;30/11/2023;;Création;presentiel;VRAI;hourly;terminated;30/10/2023;1.70169E+12;3;;;
65688f4e11ad9c29f9317df9;6525700e5b0ddd07d925b6c1;Jury marketing;Bordeaux;30/11/2023;30/11/2023;;Création;presentiel;VRAI;hourly;terminated;30/10/2023;1.70169E+12;3;;;
65688f4a11ad9c29f9317df8;63887955d10d072727c11988;Jury marketing;Bordeaux;30/11/2023;30/11/2023;;Création;presentiel;VRAI;hourly;terminated;30/10/2023;1.70169E+12;3;;;
65674e826df3a711cd4950b4;64f1e06c88afda3cddd6fac7;Processus de l’Amélioration continue;Bordeaux;04/12/2023;30/06/2024;HT;création de poste;presentiel;FAUX;hourly;proposed;29/10/2023;1.70127E+12;14;;;
6566e1a96df3a711cd494f52;62da63a8f5e6794d89e1deba;Jury projet développement durable;;31/01/2024;31/01/2024;TTC;Création;presentiel;FAUX;hourly;pending;29/10/2023;1.70124E+12;4;;;
656460f5ddcee07998d00fc9;655cc8830972f25b9dfca77c;Big data, collecte et traitement des données;Lyon;12/02/2024;29/03/2024;TTC;Création;presentiel;FAUX;hourly;pending;27/10/2023;1.70125E+12;24.5;;;
6561ec2eddcee07998d00d3e;630644dc47b68d445cd2157d;Univers Métaverse et IA;Toulouse;02/04/2024;13/06/2024;HT;Création;presentiel_plus_or_distanciel_minus;FAUX;hourly;pending;25/10/2023;1.70092E+12;36;;;
6560a72b4054c942bf3e920d;65296f575b0ddd07d925c0b4;Le transport routier de marchandises;Bourges (Centre-Val de Loire 18000);27/09/2023;27/09/2023;HT;Création;presentiel;FAUX;hourly;pending;24/10/2023;1.70083E+12;16;;;
6560845c4054c942bf3e91de;5cab2f3bd10aab0a4c954e0a;Séminaire Projet (marketing stratégique);Bordeaux;28/09/2023;30/04/2024;TTC;Création;presentiel;FAUX;hourly;pending;24/10/2023;1.70082E+12;21;;;
65605dea4054c942bf3e91af;646c71d6de81f4250f635304;Cours avancé de Développement Web avec JavaScript;Bordeaux, France;30/11/2023;15/01/2024;HT;Création;presentiel_plus_distanciel_minus;VRAI;hourly;terminated;24/10/2023;1.70081E+12;60;;;
655fe488664767233f96a75b;646c71d6de81f4250f635304;Introduction au Développement Web avec JavaScript;Bordeaux, France;27/11/2023;18/01/2024;HT;Création;presentiel_plus_distanciel_minus;VRAI;hourly;terminated;24/10/2023;1.70078E+12;60;4.5;4.5;5
655e37004c24a02f8f55e8f2;5ebbb450e1feb14ac570a461;DAF / RAF;Bordeaux;28/04/2023;31/12/2023;HT;Création de poste;;VRAI;daily;terminated;22/10/2023;1.70067E+12;;4.5;4;5
655e36fc4c24a02f8f55e8f1;5ebbb450e1feb14ac570a461;DAF / RAF;Bordeaux;28/04/2023;31/12/2023;HT;Création de poste;;FAUX;hourly;proposed;22/10/2023;1.70067E+12;;;;
655e03094c24a02f8f55e858;62d94a08f5e6794d89e1dd6d;Culture et médias spécialisés;Bordeaux;20/11/2023;18/12/2023;TTC;Création de poste;;FAUX;hourly;pending;22/10/2023;1.70066E+12;18;;;
655dce360972f25b9dfca8ef;6502c663f95a870ce72f8e60;Coach BBC;Bordeaux;02/10/2023;31/05/2024;TTC;Autre;;FAUX;hourly;pending;22/10/2023;1.70065E+12;68;;;
655dce180972f25b9dfca8eb;5eccbe45e1feb14ac570b2ec;Coach BBC;Bordeaux;02/10/2023;31/05/2024;TTC;Autre;;FAUX;hourly;pending;22/10/2023;1.70065E+12;68;;;
655b62e2203e6a22c9ef071c;63f61ddceae8bb0eff624f87;Gestion administrative et comptable RH;Lyon;06/11/2023;31/03/2024;HT;Création;presentiel;FAUX;hourly;pending;20/10/2023;1.70049E+12;18;;;
655b1f4b203e6a22c9ef05ee;651ae032d2ebbd6640a8290e;ESG - ENVIRONMENTAL, SOCIAL & GOVERNANCE;Toulouse;29/03/2024;05/04/2024;TTC;Création de poste;;FAUX;hourly;proposed;20/10/2023;1.70047E+12;14;;;
